schema_version	namespace	profile	master	order_index	position	predecessor	method	candidate_count	attempted_paths	dropped_paths	generation_elapsed_s	generation_overage	ledger_charge_total_s	actual_replay_total_s	actual_replay_overage	replay_coverage_numerator	replay_coverage_denominator	raw	invalid_attribution_count	duplicate_identity_count	score_identity_failure_count	timeout_count	incomplete_count	exception_count	exception_id	cell_valid	transition_sequence_json
hcms24-method-cell-v1	primary	reset_dominant_new	101	1	2	fixed24_no_salvage_calibrated	hcms_calibrated	3	11	8	1.950992449070327	False	1.7005822446662933	0.686931015807204	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	101	1	3	hcms_calibrated	hcms_scalar	7	8	1	1.9643449709983543	False	1.364651011838578	2.076868275878951	True	0	7	2702.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	101	2	0	none	fixed24_no_salvage_calibrated	3	9	6	1.976452715927735	False	1.6306183939741459	0.7271331241354346	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	101	2	1	fixed24_no_salvage_calibrated	hcms_scalar	7	8	1	1.943403105949983	False	1.388042286189739	2.198257723939605	True	0	7	2702.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	101	2	2	hcms_scalar	fixed8_calibrated	4	13	9	1.9932087400229648	False	1.9535734671808314	0.6871832640608773	False	4	4	520.0	0	0	0	0	0	0		True	[8,8,8,8]
hcms24-method-cell-v1	primary	reset_dominant_new	101	2	3	fixed8_calibrated	hcms_calibrated	3	11	8	1.9310764950932935	False	1.6223332163644955	0.7299666700419039	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	101	3	0	none	hcms_scalar	7	7	0	1.9010090929223225	False	1.4423547808779404	2.146899759187363	True	0	7	2702.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	101	3	1	hcms_scalar	hcms_calibrated	3	11	8	1.9427314199274406	False	1.7758518978371285	0.7511359419440851	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	101	3	2	hcms_calibrated	fixed24_no_salvage_calibrated	3	8	5	1.9076299760490656	False	1.729275072721066	0.7336846140678972	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	101	3	3	fixed24_no_salvage_calibrated	fixed8_calibrated	4	13	9	1.9017087540123612	False	1.8909566877118777	0.6558845170075074	False	4	4	520.0	0	0	0	0	0	0		True	[8,8,8,8]
hcms24-method-cell-v1	primary	reset_dominant_new	211	0	0	none	hcms_calibrated	3	11	8	1.9703886409988627	False	1.665331808035262	0.752925302949734	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	211	0	1	hcms_calibrated	fixed8_calibrated	4	13	9	1.9996916769305244	False	1.8875561535242014	0.6678241570480168	False	4	4	520.0	0	0	0	0	0	0		True	[8,8,8,8]
hcms24-method-cell-v1	primary	reset_dominant_new	211	0	2	fixed8_calibrated	hcms_scalar	7	8	1	1.961110858945176	False	1.4044610017328525	2.16033749608323	True	0	7	2702.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	211	0	3	hcms_scalar	fixed24_no_salvage_calibrated	3	8	5	1.9144781209761277	False	1.6568002171698026	0.730293889879249	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	211	1	0	none	fixed8_calibrated	4	13	9	1.9626074319239706	False	1.9090222413069569	0.6416727597825229	False	4	4	520.0	0	0	0	0	0	0		True	[8,8,8,8]
hcms24-method-cell-v1	primary	reset_dominant_new	211	1	1	fixed8_calibrated	fixed24_no_salvage_calibrated	3	8	5	1.9076572279445827	False	1.658328822668409	0.7369786310009658	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	211	1	2	fixed24_no_salvage_calibrated	hcms_calibrated	3	11	8	1.9040533530060202	False	1.6501806408632547	0.7100808779941872	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	211	1	3	hcms_calibrated	hcms_scalar	7	8	1	1.981150734005496	False	1.3678450280451218	2.1158256359631196	True	0	7	2702.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	211	2	0	none	fixed24_no_salvage_calibrated	3	8	5	1.9214264260372147	False	1.6845086985267699	0.7703745501348749	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	211	2	1	fixed24_no_salvage_calibrated	hcms_scalar	7	8	1	1.909765349002555	False	1.3569258109084332	2.1684400151716545	True	0	7	2702.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	211	2	2	hcms_scalar	fixed8_calibrated	4	13	9	1.9878984510432929	False	1.9891315384302288	0.6626304609235376	False	4	4	520.0	0	0	0	0	0	0		True	[8,8,8,8]
hcms24-method-cell-v1	primary	reset_dominant_new	211	2	3	fixed8_calibrated	hcms_calibrated	3	11	8	1.918019624077715	False	1.680437070899643	0.7689406999852508	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	211	3	0	none	hcms_scalar	8	8	0	1.9420890880282968	False	1.398122300277464	2.3168297719676048	True	0	8	2720.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24,1]
hcms24-method-cell-v1	primary	reset_dominant_new	211	3	1	hcms_scalar	hcms_calibrated	3	11	8	2.0038707080530003	True	1.7118560333619826	0.7416217799764127	False	3	3	1158.0	0	0	0	0	0	0		False	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	211	3	2	hcms_calibrated	fixed24_no_salvage_calibrated	3	8	5	1.9055740979965776	False	1.6828117577824742	0.7510965500259772	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	211	3	3	fixed24_no_salvage_calibrated	fixed8_calibrated	4	13	9	1.9706791429780424	False	1.871994298271602	0.6756616500206292	False	4	4	520.0	0	0	0	0	0	0		True	[8,8,8,8]
hcms24-method-cell-v1	primary	reset_dominant_new	307	0	0	none	hcms_calibrated	3	11	8	1.9465605119476095	False	1.7057706508785486	0.7589206139091402	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	307	0	1	hcms_calibrated	fixed8_calibrated	4	12	8	1.9227382170502096	False	1.9900744312326424	0.6650645531481132	False	4	4	520.0	0	0	0	0	0	0		True	[8,8,8,8]
hcms24-method-cell-v1	primary	reset_dominant_new	307	0	2	fixed8_calibrated	hcms_scalar	7	8	1	1.9403382260352373	False	1.3414676988730208	2.065795673057437	True	0	7	2702.0	0	0	0	0	0	0		True	[24,24,24,24,24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	307	0	3	hcms_scalar	fixed24_no_salvage_calibrated	3	8	5	1.9025629749521613	False	1.6492810170166194	0.7427991470322013	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	307	1	0	none	fixed8_calibrated	4	13	9	1.9286180860362947	False	1.9999865211138967	0.5982335769804195	False	4	4	408.0	0	0	0	0	0	0		True	[8,8,8,1]
hcms24-method-cell-v1	primary	reset_dominant_new	307	1	1	fixed8_calibrated	fixed24_no_salvage_calibrated	3	9	6	1.9823280679993331	False	1.6332656399754342	0.7444372200407088	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
hcms24-method-cell-v1	primary	reset_dominant_new	307	1	2	fixed24_no_salvage_calibrated	hcms_calibrated	3	11	8	1.9049866810673848	False	1.655093880253844	0.7179800639860332	False	3	3	1158.0	0	0	0	0	0	0		True	[24,24,24]
