master_index	master_digest_hex	weighting	saturation	adaptive_score	global_score	gain_numerator	gain_denominator	gain_percent_fixed_12	clears_5_percent	global_length
11	a315319413faea70204d25ec113d1841d329ede8bc945c5e14b2574710123967	balanced_cliff_presence	1000000000000000000	24692354	18285744	6406610	18285744	35.036091503851	true	24
11	a315319413faea70204d25ec113d1841d329ede8bc945c5e14b2574710123967	no_cliff_only	1000000000000000000	3951324	3733216	218108	3733216	5.842362188526	true	32
11	a315319413faea70204d25ec113d1841d329ede8bc945c5e14b2574710123967	cliff_only	1000000000000000000	8887058	6110482	2776576	6110482	45.439557795932	true	8
12	7f7c9f43ede7e2189d444f5e8787c9ede657f374ca9bcde503dfc5b9a7b97916	equal	200000	11940856	8426854	3514002	8426854	41.700046067014	true	16
12	7f7c9f43ede7e2189d444f5e8787c9ede657f374ca9bcde503dfc5b9a7b97916	balanced_cliff_presence	200000	21403756	15913384	5490372	15913384	34.501599408397	true	16
12	7f7c9f43ede7e2189d444f5e8787c9ede657f374ca9bcde503dfc5b9a7b97916	no_cliff_only	200000	3154300	2914280	240020	2914280	8.235996541170	true	32
12	7f7c9f43ede7e2189d444f5e8787c9ede657f374ca9bcde503dfc5b9a7b97916	cliff_only	200000	8786556	6327642	2458914	6327642	38.859878608809	true	8
12	7f7c9f43ede7e2189d444f5e8787c9ede657f374ca9bcde503dfc5b9a7b97916	equal	1000000000000000000	12219396	8494122	3725274	8494122	43.857081402881	true	16
12	7f7c9f43ede7e2189d444f5e8787c9ede657f374ca9bcde503dfc5b9a7b97916	balanced_cliff_presence	1000000000000000000	22149924	16077600	6072324	16077600	37.768846096432	true	16
12	7f7c9f43ede7e2189d444f5e8787c9ede657f374ca9bcde503dfc5b9a7b97916	no_cliff_only	1000000000000000000	3310176	3070156	240020	3070156	7.817843783834	true	32
12	7f7c9f43ede7e2189d444f5e8787c9ede657f374ca9bcde503dfc5b9a7b97916	cliff_only	1000000000000000000	8909220	6327642	2581578	6327642	40.798420643899	true	8
13	de648dc87f924e39ed233d5f4029366bdd153baf1843705525ac404760444fc9	equal	200000	11717106	8303230	3413876	8303230	41.115035955887	true	16
13	de648dc87f924e39ed233d5f4029366bdd153baf1843705525ac404760444fc9	balanced_cliff_presence	200000	21327738	16250290	5077448	16250290	31.245276238147	true	16
13	de648dc87f924e39ed233d5f4029366bdd153baf1843705525ac404760444fc9	no_cliff_only	200000	3203544	3007828	195716	3007828	6.506888026842	true	32
13	de648dc87f924e39ed233d5f4029366bdd153baf1843705525ac404760444fc9	cliff_only	200000	8513562	6066516	2447046	6066516	40.336924851101	true	8
13	de648dc87f924e39ed233d5f4029366bdd153baf1843705525ac404760444fc9	equal	1000000000000000000	12025258	8304328	3720930	8304328	44.807117445265	true	16
13	de648dc87f924e39ed233d5f4029366bdd153baf1843705525ac404760444fc9	balanced_cliff_presence	1000000000000000000	22160572	16553740	5606832	16553740	33.870484857198	true	24
13	de648dc87f924e39ed233d5f4029366bdd153baf1843705525ac404760444fc9	no_cliff_only	1000000000000000000	3378438	3182722	195716	3182722	6.149327525307	true	32
13	de648dc87f924e39ed233d5f4029366bdd153baf1843705525ac404760444fc9	cliff_only	1000000000000000000	8646820	6066516	2580304	6066516	42.533539843957	true	8
14	242d105ea915857a5f16fc83390df35854a9aa162d2465e71ca2e1ac7d9b46e5	equal	200000	11174438	7683532	3490906	7683532	45.433610480180	true	16
14	242d105ea915857a5f16fc83390df35854a9aa162d2465e71ca2e1ac7d9b46e5	balanced_cliff_presence	200000	20749160	15177332	5571828	15177332	36.711511614821	true	24
14	242d105ea915857a5f16fc83390df35854a9aa162d2465e71ca2e1ac7d9b46e5	no_cliff_only	200000	3191574	2980396	211178	2980396	7.085568494925	true	32
14	242d105ea915857a5f16fc83390df35854a9aa162d2465e71ca2e1ac7d9b46e5	cliff_only	200000	7982864	5636204	2346660	5636204	41.635469546525	true	8
14	242d105ea915857a5f16fc83390df35854a9aa162d2465e71ca2e1ac7d9b46e5	equal	1000000000000000000	11269250	7692182	3577068	7692182	46.502643853201	true	16
14	242d105ea915857a5f16fc83390df35854a9aa162d2465e71ca2e1ac7d9b46e5	balanced_cliff_presence	1000000000000000000	21102458	15330972	5771486	15330972	37.645923559185	true	24
14	242d105ea915857a5f16fc83390df35854a9aa162d2465e71ca2e1ac7d9b46e5	no_cliff_only	1000000000000000000	3277736	3066558	211178	3066558	6.886483151468	true	32
14	242d105ea915857a5f16fc83390df35854a9aa162d2465e71ca2e1ac7d9b46e5	cliff_only	1000000000000000000	7991514	5636204	2355310	5636204	41.788941635186	true	8
15	cba2d19fa7da7dfea03b5bfdc32336a1aac9c5804dfd3bae2e9f42d49419fbfb	equal	200000	11604556	8192786	3411770	8192786	41.643587419469	true	16
15	cba2d19fa7da7dfea03b5bfdc32336a1aac9c5804dfd3bae2e9f42d49419fbfb	balanced_cliff_presence	200000	20765152	15417930	5347222	15417930	34.681841206958	true	24
15	cba2d19fa7da7dfea03b5bfdc32336a1aac9c5804dfd3bae2e9f42d49419fbfb	no_cliff_only	200000	3053532	2845404	208128	2845404	7.314532488181	true	32
15	cba2d19fa7da7dfea03b5bfdc32336a1aac9c5804dfd3bae2e9f42d49419fbfb	cliff_only	200000	8551024	6004726	2546298	6004726	42.404899074496	true	8
15	cba2d19fa7da7dfea03b5bfdc32336a1aac9c5804dfd3bae2e9f42d49419fbfb	equal	1000000000000000000	11772416	8229654	3542762	8229654	43.048735706264	true	16
15	cba2d19fa7da7dfea03b5bfdc32336a1aac9c5804dfd3bae2e9f42d49419fbfb	balanced_cliff_presence	1000000000000000000	21291158	15714784	5576374	15714784	35.484891169996	true	24
15	cba2d19fa7da7dfea03b5bfdc32336a1aac9c5804dfd3bae2e9f42d49419fbfb	no_cliff_only	1000000000000000000	3172914	2964786	208128	2964786	7.020000769027	true	32
15	cba2d19fa7da7dfea03b5bfdc32336a1aac9c5804dfd3bae2e9f42d49419fbfb	cliff_only	1000000000000000000	8599502	6004726	2594776	6004726	43.212229833634	true	8
16	df6e75b894a1fbcdd6a1a2f906ffab16f528a0b8fc0a3abd72d2c978c62c643d	equal	200000	11289064	8008162	3280902	8008162	40.969475892221	true	16
16	df6e75b894a1fbcdd6a1a2f906ffab16f528a0b8fc0a3abd72d2c978c62c643d	balanced_cliff_presence	200000	20152378	15270808	4881570	15270808	31.966677860137	true	16
16	df6e75b894a1fbcdd6a1a2f906ffab16f528a0b8fc0a3abd72d2c978c62c643d	no_cliff_only	200000	2954438	2761298	193140	2761298	6.994536627340	true	32
16	df6e75b894a1fbcdd6a1a2f906ffab16f528a0b8fc0a3abd72d2c978c62c643d	cliff_only	200000	8334626	5962834	2371792	5962834	39.776254042960	true	8
16	df6e75b894a1fbcdd6a1a2f906ffab16f528a0b8fc0a3abd72d2c978c62c643d	equal	1000000000000000000	11664682	8061624	3603058	8061624	44.693947522236	true	16
16	df6e75b894a1fbcdd6a1a2f906ffab16f528a0b8fc0a3abd72d2c978c62c643d	balanced_cliff_presence	1000000000000000000	21386722	15888244	5498478	15888244	34.607210211525	true	24
16	df6e75b894a1fbcdd6a1a2f906ffab16f528a0b8fc0a3abd72d2c978c62c643d	no_cliff_only	1000000000000000000	3240680	3047540	193140	3047540	6.337570630738	true	32
16	df6e75b894a1fbcdd6a1a2f906ffab16f528a0b8fc0a3abd72d2c978c62c643d	cliff_only	1000000000000000000	8424002	5962834	2461168	5962834	41.275138633744	true	8
17	537cb8b1631a68b7eb1a3fc6ee6559c82d11423e013571867d52ff21e64db00c	equal	200000	11886638	8499242	3387396	8499242	39.855271799532	true	16
17	537cb8b1631a68b7eb1a3fc6ee6559c82d11423e013571867d52ff21e64db00c	balanced_cliff_presence	200000	21880166	16782596	5097570	16782596	30.374144738990	true	16
17	537cb8b1631a68b7eb1a3fc6ee6559c82d11423e013571867d52ff21e64db00c	no_cliff_only	200000	3331176	3113578	217598	3113578	6.988679904599	true	32
17	537cb8b1631a68b7eb1a3fc6ee6559c82d11423e013571867d52ff21e64db00c	cliff_only	200000	8555462	5926478	2628984	5926478	44.359972314079	true	8
17	537cb8b1631a68b7eb1a3fc6ee6559c82d11423e013571867d52ff21e64db00c	equal	1000000000000000000	12747768	8744720	4003048	8744720	45.776742994630	true	16
17	537cb8b1631a68b7eb1a3fc6ee6559c82d11423e013571867d52ff21e64db00c	balanced_cliff_presence	1000000000000000000	24654180	18219946	6434234	18219946	35.314231996077	true	24
17	537cb8b1631a68b7eb1a3fc6ee6559c82d11423e013571867d52ff21e64db00c	no_cliff_only	1000000000000000000	3968804	3751206	217598	3751206	5.800747812837	true	32
17	537cb8b1631a68b7eb1a3fc6ee6559c82d11423e013571867d52ff21e64db00c	cliff_only	1000000000000000000	8778964	5926478	2852486	5926478	48.131217225475	true	8
18	48b0cda766314fdc195387f0a0e530d8e7bd639a0ed9ebe3ed97ecb717f17823	equal	200000	12280908	8787718	3493190	8787718	39.750820406390	true	16
18	48b0cda766314fdc195387f0a0e530d8e7bd639a0ed9ebe3ed97ecb717f17823	balanced_cliff_presence	200000	21866838	16717552	5149286	16717552	30.801674790663	true	16
18	48b0cda766314fdc195387f0a0e530d8e7bd639a0ed9ebe3ed97ecb717f17823	no_cliff_only	200000	3195310	2955456	239854	2955456	8.115634270989	true	32
18	48b0cda766314fdc195387f0a0e530d8e7bd639a0ed9ebe3ed97ecb717f17823	cliff_only	200000	9085598	6673252	2412346	6673252	36.149481542133	true	8
18	48b0cda766314fdc195387f0a0e530d8e7bd639a0ed9ebe3ed97ecb717f17823	equal	1000000000000000000	12894558	8924878	3969680	8924878	44.478815284646	true	16
18	48b0cda766314fdc195387f0a0e530d8e7bd639a0ed9ebe3ed97ecb717f17823	balanced_cliff_presence	1000000000000000000	23839224	17343874	6495350	17343874	37.450398913184	true	24
18	48b0cda766314fdc195387f0a0e530d8e7bd639a0ed9ebe3ed97ecb717f17823	no_cliff_only	1000000000000000000	3648222	3408368	239854	3408368	7.037209597086	true	32
